Block group,Median_hh_income,age_perc,race_eth
60014217003,100509,30.82901554,50.60869565
60014218001,157990,19.02730375,33.0206379
60014218002,155694,30.6547619,29.50191571
60014219001,133194,22.39520958,37.67798467
60014219002,130114,19.25581395,39.19043238
60014219003,128158,16.00361664,48.23410696
60014219004,148214,19.53327571,40.87912088
60014220001,126750,20.3180212,54.25971878
60014220002,153864,18.54043393,64.1216992
60014221001,118077,16.55277145,55.95959596
60014221002,115139,24.36657682,59.84889369
60014222001,103875,15.53846154,46.46053702
60014222002,96389,27.03150912,46.37537239
60014222003,91932,12.14788732,49.63167587
60014223001,102917,18.64988558,37.64832794
60014223002,122750,26.61417323,40.19008826
60014223003,76836,14.88645921,54.07512403
60014224001,44637,6.850715746,65.45454545
60014224002,66633,14.25149701,63.02966102
60014224003,98000,14.77744807,51.90958691
60014224004,63338,23.40884574,59.10290237
60014225001,52917,13.83694839,41.97324415
60014225002,52917,0.970873786,55.954323
60014225003,43654,10.28192371,55.66502463
60014227001,89750,13.68563686,39.42992874
60014227002,50725,0.858652576,49.96884735
60014227003,37500,0,53.31874544
60014227004,37500,1.322482197,60.85714286
60014228001,25243,0.315656566,73.51545886
60014228002,25243,0.298730396,74.22644163
60014228003,35625,5.523255814,73.46938776
60014228004,35052,0.548320768,67.61107534
60014229011,42216,3.043478261,70.56514914
60014229012,64517,11.15879828,67.7480916
60014229021,69347,1.072607261,66.66666667
60014229022,33828,2.055406613,73.50343474
60014229023,NA,3.571428571,70.32967033
60014230001,177615,17.11656442,49.30394432
60014230002,66331,18.35273053,40.86311531
60014230003,74932,20.21052632,40.23144997
60014231001,36978,27.71285476,59.08355795
60014231002,106576,11.00478469,45.3038674
60014231003,72328,27.92792793,47.1164309
60014231004,136917,18.83561644,47.43130227
60014232001,88897,11.25874126,69.79677645
60014232002,70903,16.05471562,59.49280329
60014233001,83542,25.5091104,51.54811715
60014233002,60669,23.22274882,55.90277778
60014233003,170735,20.82840237,58.29555757
60014234001,92292,43.39853301,47.67676768
60014234002,195444,11.45703611,49.67032967
60014234003,138021,9.342039176,54.56417296
60014234004,71885,11.12462006,64.64705882
60014235001,74398,24.74358974,51.68067227
60014235002,100406,19.18735892,52.57623554
60014235003,88594,28.49631966,48.85844749
60014236011,145729,26.98170732,35.91194969
60014236012,122115,30.76923077,41.00486224
60014236021,81471,10.66176471,60.24808033
60014236022,19464,3.790786948,70.35657265
60014236023,83589,20.39542144,55.40871268
60014237001,41406,18.14323607,43.47612014
60014237002,141500,24.23979149,26.51006711
60014237003,74706,11.29943503,48.86251236
60014238001,250000,41.87192118,27.63358779
60014238002,201657,38.32335329,24.2114237
60014238003,157292,22.1002059,27.59365994
60014239011,72500,18.56823266,53.61390668
60014239012,145042,19.49838188,38.05970149
60014239021,164375,20.24647887,28.33876221
60014239022,158333,19.08045977,35.41176471
60014240011,112868,17.32925586,59.39257593
60014240012,137679,16.10942249,58.13664596
60014240013,43454,12.42124212,62.96
60014240014,108036,11.8623962,57.8202995
60014240021,100833,19.35483871,64.8006135
60014240022,85250,19.01901902,62.83783784
60014251011,86136,28.91215823,50.08726003
60014251012,85341,100,34.32835821
60014251021,120764,5.483271375,74.95711835
60014251022,141650,12.97836938,73.1825525
60014251023,116406,14.06510851,69.75088968
60014251031,126375,3.523316062,68.26697892
60014251032,109352,4.238754325,62.88372093
60014251033,99375,10.07751938,55.76730191
60014251041,87500,15.17857143,65.41598695
60014251042,85341,12.38709677,74.63533225
60014251043,30294,3.117505995,82.73542601
60014251044,170357,31.61189358,45.89041096
60014251045,119815,39.89071038,58.67158672
60014261001,250000,15.27093596,39.68253968
60014261002,250000,77.98408488,31.66666667
60014261003,250000,13.16964286,35.84070796
60014261004,210882,37.17371737,37.76351971
60014261005,250000,19.64636542,30.2514193
60014261006,250000,26.63043478,41.41656663
60014262001,250000,22.68489745,34.65770171
60014262002,226705,28.61788618,40.65464896
60014262003,199250,28.15808045,42.61315115
60014271001,139554,20.71086808,57.0300158
60014271002,150956,23.82978723,31.17559524
60014271003,202037,27.98400914,36.75154852
60014272001,88036,17.61071061,61.67539267
60014272002,120469,19.33064051,65.09324009
60014272003,100588,20,61.31465517
60014272004,88036,19.76225854,59.63020031
60014272005,88036,0,48.69565217
60014273001,68750,28.94482091,58.57267189
60014273002,132331,17.63157895,62.53704801
60014273003,144531,17.1875,64.26264801
60014273004,106389,17.67676768,61.50740242
60014273005,106389,43.2304038,69.611891
60014276001,96094,13.45906558,76.5917603
60014276002,66250,20.53522665,75.2688172
60014276003,83781,30.70301291,72.06771463
